id,source,family,base_rate,base_rate_pct,base_rate_se,description,dl_bits,program
count_high_cards_eq_1,template,COUNT,0.19888,19.89,0.001785,Number of high_cards is eq 1,,λh. count(high_cards) eq 1
(λ le (rank_val (last $0)) (min_rank $0)),grammar,ENUMERATED,0.1992,19.92,0.003994,Enumerated program (DL=27.0558 bits),27.0558,(λ le (rank_val (last $0)) (min_rank $0))
(λ le (max_rank $0) (rank_val (head $0))),grammar,ENUMERATED,0.1999,19.99,0.003999,Enumerated program (DL=27.0558 bits),27.0558,(λ le (max_rank $0) (rank_val (head $0)))
(λ has_suit (drop (n_unique_ranks $0) $0) SPADES),grammar,ENUMERATED,0.2002,20.02,0.004001,Enumerated program (DL=27.2257 bits),27.2257,(λ has_suit (drop (n_unique_ranks $0) $0) SPADES)
(λ has_color (drop (min_rank $0) (first_half $0)) BLACK),grammar,ENUMERATED,0.2005,20.05,0.004004,Enumerated program (DL=30.4481 bits),30.4481,(λ has_color (drop (min_rank $0) (first_half $0)) BLACK)
(λ has_suit (drop (n_unique_ranks $0) $0) HEARTS),grammar,ENUMERATED,0.2013,20.13,0.00401,Enumerated program (DL=27.2257 bits),27.2257,(λ has_suit (drop (n_unique_ranks $0) $0) HEARTS)
(λ has_color (drop (min_rank $0) (second_half $0)) RED),grammar,ENUMERATED,0.2052,20.52,0.004038,Enumerated program (DL=30.4481 bits),30.4481,(λ has_color (drop (min_rank $0) (second_half $0)) RED)
(λ le (min_rank (first_half $0)) (n_unique_colors $0)),grammar,ENUMERATED,0.2066,20.66,0.004049,Enumerated program (DL=28.6408 bits),28.6408,(λ le (min_rank (first_half $0)) (n_unique_colors $0))
(λ lt (mod (sum_ranks $0) 5) 1),grammar,ENUMERATED,0.207,20.7,0.004052,Enumerated program (DL=28.3678 bits),28.3678,(λ lt (mod (sum_ranks $0) 5) 1)
(λ lt (n_unique_colors (first_half $0)) (n_unique_colors $0),grammar,ENUMERATED,0.2076,20.76,0.004056,Enumerated program (DL=28.6408 bits),28.6408,(λ lt (n_unique_colors (first_half $0)) (n_unique_colors $0))
(λ lt (n_unique_colors (second_half $0)) (n_unique_colors $0,grammar,ENUMERATED,0.2096,20.96,0.00407,Enumerated program (DL=28.6408 bits),28.6408,(λ lt (n_unique_colors (second_half $0)) (n_unique_colors $0))
(λ ge (n_unique_suits (second_half $0)) (n_unique_suits $0)),grammar,ENUMERATED,0.2114,21.14,0.004083,Enumerated program (DL=28.6408 bits),28.6408,(λ ge (n_unique_suits (second_half $0)) (n_unique_suits $0))
(λ lt (min_rank (first_half $0)) 3),grammar,ENUMERATED,0.2123,21.23,0.004089,Enumerated program (DL=22.7828 bits),22.7828,(λ lt (min_rank (first_half $0)) 3)
(λ le (min_rank (second_half $0)) (n_unique_colors $0)),grammar,ENUMERATED,0.2138,21.38,0.0041,Enumerated program (DL=28.6408 bits),28.6408,(λ le (min_rank (second_half $0)) (n_unique_colors $0))
(λ ge (n_unique_suits (first_half $0)) (n_unique_suits $0)),grammar,ENUMERATED,0.2157,21.57,0.004113,Enumerated program (DL=28.6408 bits),28.6408,(λ ge (n_unique_suits (first_half $0)) (n_unique_suits $0))
(λ lt (max_rank (first_half $0)) (rank_val (last $0))),grammar,ENUMERATED,0.2166,21.66,0.004119,Enumerated program (DL=30.6408 bits),30.6408,(λ lt (max_rank (first_half $0)) (rank_val (last $0)))
(λ not (has_suit (drop 1 $0) DIAMONDS)),grammar,ENUMERATED,0.2171,21.71,0.004123,Enumerated program (DL=25.5377 bits),25.5377,(λ not (has_suit (drop 1 $0) DIAMONDS))
(λ lt (min_rank (second_half $0)) 3),grammar,ENUMERATED,0.2184,21.84,0.004132,Enumerated program (DL=22.7828 bits),22.7828,(λ lt (min_rank (second_half $0)) 3)
(λ gt (min_rank (take 4 $0)) 5),grammar,ENUMERATED,0.2184,21.84,0.004132,Enumerated program (DL=27.3678 bits),27.3678,(λ gt (min_rank (take 4 $0)) 5)
(λ not (has_suit (take 5 $0) HEARTS)),grammar,ENUMERATED,0.2204,22.04,0.004145,Enumerated program (DL=25.5377 bits),25.5377,(λ not (has_suit (take 5 $0) HEARTS))
(λ not (has_suit (take 5 $0) SPADES)),grammar,ENUMERATED,0.2204,22.04,0.004145,Enumerated program (DL=25.5377 bits),25.5377,(λ not (has_suit (take 5 $0) SPADES))
(λ gt (min_rank (drop 2 $0)) 5),grammar,ENUMERATED,0.2212,22.12,0.004151,Enumerated program (DL=27.3678 bits),27.3678,(λ gt (min_rank (drop 2 $0)) 5)
(λ gt (min_rank (second_half $0)) (rank_val (head $0))),grammar,ENUMERATED,0.2216,22.16,0.004153,Enumerated program (DL=30.6408 bits),30.6408,(λ gt (min_rank (second_half $0)) (rank_val (head $0)))
(λ not (has_suit (take 5 $0) DIAMONDS)),grammar,ENUMERATED,0.2221,22.21,0.004157,Enumerated program (DL=25.5377 bits),25.5377,(λ not (has_suit (take 5 $0) DIAMONDS))
(λ gt (min_rank (first_half $0)) (rank_val (last $0))),grammar,ENUMERATED,0.2233,22.33,0.004165,Enumerated program (DL=30.6408 bits),30.6408,(λ gt (min_rank (first_half $0)) (rank_val (last $0)))
(λ not (has_suit (drop 1 $0) SPADES)),grammar,ENUMERATED,0.2235,22.35,0.004166,Enumerated program (DL=25.5377 bits),25.5377,(λ not (has_suit (drop 1 $0) SPADES))
(λ not (has_suit (drop 1 $0) HEARTS)),grammar,ENUMERATED,0.2247,22.47,0.004174,Enumerated program (DL=25.5377 bits),25.5377,(λ not (has_suit (drop 1 $0) HEARTS))
(λ lt (mod (rank_val (head $0)) 4) 1),grammar,ENUMERATED,0.225,22.5,0.004176,Enumerated program (DL=30.3678 bits),30.3678,(λ lt (mod (rank_val (head $0)) 4) 1)
(λ gt (min_rank (second_half $0)) (length $0)),grammar,ENUMERATED,0.2252,22.52,0.004177,Enumerated program (DL=28.6408 bits),28.6408,(λ gt (min_rank (second_half $0)) (length $0))
(λ not (has_suit (take 5 $0) CLUBS)),grammar,ENUMERATED,0.2253,22.53,0.004178,Enumerated program (DL=25.5377 bits),25.5377,(λ not (has_suit (take 5 $0) CLUBS))
(λ lt (max_rank (second_half $0)) (rank_val (head $0))),grammar,ENUMERATED,0.2255,22.55,0.004179,Enumerated program (DL=30.6408 bits),30.6408,(λ lt (max_rank (second_half $0)) (rank_val (head $0)))
(λ gt (min_rank (first_half $0)) (length $0)),grammar,ENUMERATED,0.2264,22.64,0.004185,Enumerated program (DL=28.6408 bits),28.6408,(λ gt (min_rank (first_half $0)) (length $0))
(λ lt (mod 5 (rank_val (head $0))) 2),grammar,ENUMERATED,0.2266,22.66,0.004186,Enumerated program (DL=30.3678 bits),30.3678,(λ lt (mod 5 (rank_val (head $0))) 2)
(λ not (has_suit (drop 1 $0) CLUBS)),grammar,ENUMERATED,0.2269,22.69,0.004188,Enumerated program (DL=25.5377 bits),25.5377,(λ not (has_suit (drop 1 $0) CLUBS))
(λ lt (rank_val (head (second_half $0))) 5),grammar,ENUMERATED,0.227,22.7,0.004189,Enumerated program (DL=24.7828 bits),24.7828,(λ lt (rank_val (head (second_half $0))) 5)
(λ ge (count_suit $0 DIAMONDS) (min_rank $0)),grammar,ENUMERATED,0.2276,22.76,0.004193,Enumerated program (DL=28.2257 bits),28.2257,(λ ge (count_suit $0 DIAMONDS) (min_rank $0))
(λ lt (rank_val (at $0 1)) 5),grammar,ENUMERATED,0.2284,22.84,0.004198,Enumerated program (DL=25.7828 bits),25.7828,(λ lt (rank_val (at $0 1)) 5)
(λ lt (rank_val (last (first_half $0))) 5),grammar,ENUMERATED,0.2295,22.95,0.004205,Enumerated program (DL=24.7828 bits),24.7828,(λ lt (rank_val (last (first_half $0))) 5)
(λ lt (rank_val (at $0 4)) 5),grammar,ENUMERATED,0.2296,22.96,0.004206,Enumerated program (DL=25.7828 bits),25.7828,(λ lt (rank_val (at $0 4)) 5)
(λ lt (mod (rank_val (last $0)) 4) 1),grammar,ENUMERATED,0.2298,22.98,0.004207,Enumerated program (DL=30.3678 bits),30.3678,(λ lt (mod (rank_val (last $0)) 4) 1)
(λ lt (rank_val (head $0)) 5),grammar,ENUMERATED,0.23,23.0,0.004208,Enumerated program (DL=21.1978 bits),21.1978,(λ lt (rank_val (head $0)) 5)
(λ lt (n_unique_colors (first_half $0)) 2),grammar,ENUMERATED,0.23,23.0,0.004208,Enumerated program (DL=22.7828 bits),22.7828,(λ lt (n_unique_colors (first_half $0)) 2)
(λ lt (n_unique_colors (second_half $0)) 2),grammar,ENUMERATED,0.232,23.2,0.004221,Enumerated program (DL=22.7828 bits),22.7828,(λ lt (n_unique_colors (second_half $0)) 2)
(λ has_suit (first_half (second_half $0)) (get_suit (head $0,grammar,ENUMERATED,0.2325,23.25,0.004224,Enumerated program (DL=28.2257 bits),28.2257,(λ has_suit (first_half (second_half $0)) (get_suit (head $0)))
(λ gt (mod (rank_val (head $0)) 5) 3),grammar,ENUMERATED,0.2328,23.28,0.004226,Enumerated program (DL=30.3678 bits),30.3678,(λ gt (mod (rank_val (head $0)) 5) 3)
(λ ge (count_suit $0 SPADES) (min_rank $0)),grammar,ENUMERATED,0.2333,23.33,0.004229,Enumerated program (DL=28.2257 bits),28.2257,(λ ge (count_suit $0 SPADES) (min_rank $0))
(λ ge (count_suit $0 CLUBS) (min_rank $0)),grammar,ENUMERATED,0.2341,23.41,0.004234,Enumerated program (DL=28.2257 bits),28.2257,(λ ge (count_suit $0 CLUBS) (min_rank $0))
(λ has_color (drop (rank_val (head $0)) $0) BLACK),grammar,ENUMERATED,0.2343,23.43,0.004236,Enumerated program (DL=28.8632 bits),28.8632,(λ has_color (drop (rank_val (head $0)) $0) BLACK)
(λ gt (mod (rank_val (last $0)) 4) 2),grammar,ENUMERATED,0.2344,23.44,0.004236,Enumerated program (DL=30.3678 bits),30.3678,(λ gt (mod (rank_val (last $0)) 4) 2)
(λ ge (count_suit $0 HEARTS) (min_rank $0)),grammar,ENUMERATED,0.2345,23.45,0.004237,Enumerated program (DL=28.2257 bits),28.2257,(λ ge (count_suit $0 HEARTS) (min_rank $0))
(λ lt (n_unique_suits (head (adjacent_pairs $0))) 2),grammar,ENUMERATED,0.2348,23.48,0.004239,Enumerated program (DL=26.4832 bits),26.4832,(λ lt (n_unique_suits (head (adjacent_pairs $0))) 2)
(λ lt (mod 5 (rank_val (last $0))) 2),grammar,ENUMERATED,0.2355,23.55,0.004243,Enumerated program (DL=30.3678 bits),30.3678,(λ lt (mod 5 (rank_val (last $0))) 2)
(λ lt (n_unique_suits (second_half (second_half $0))) 2),grammar,ENUMERATED,0.236,23.6,0.004246,Enumerated program (DL=26.3678 bits),26.3678,(λ lt (n_unique_suits (second_half (second_half $0))) 2)
(λ gt (mod (rank_val (last $0)) 5) 3),grammar,ENUMERATED,0.2371,23.71,0.004253,Enumerated program (DL=30.3678 bits),30.3678,(λ gt (mod (rank_val (last $0)) 5) 3)
(λ has_suit (first_half (second_half $0)) (get_suit (last $0,grammar,ENUMERATED,0.2375,23.75,0.004256,Enumerated program (DL=28.2257 bits),28.2257,(λ has_suit (first_half (second_half $0)) (get_suit (last $0)))
(λ not (has_color (second_half (first_half $0)) BLACK)),grammar,ENUMERATED,0.2376,23.76,0.004256,Enumerated program (DL=24.1751 bits),24.1751,(λ not (has_color (second_half (first_half $0)) BLACK))
(λ has_color (drop (rank_val (head $0)) $0) RED),grammar,ENUMERATED,0.2378,23.78,0.004257,Enumerated program (DL=28.8632 bits),28.8632,(λ has_color (drop (rank_val (head $0)) $0) RED)
(λ lt (count_suit $0 (get_suit (last $0))) 2),grammar,ENUMERATED,0.2382,23.82,0.00426,Enumerated program (DL=30.2257 bits),30.2257,(λ lt (count_suit $0 (get_suit (last $0))) 2)
(λ lt (rank_val (last $0)) 5),grammar,ENUMERATED,0.2383,23.83,0.00426,Enumerated program (DL=21.1978 bits),21.1978,(λ lt (rank_val (last $0)) 5)
(λ not (has_color (second_half (second_half $0)) RED)),grammar,ENUMERATED,0.2387,23.87,0.004263,Enumerated program (DL=24.1751 bits),24.1751,(λ not (has_color (second_half (second_half $0)) RED))
(λ gt (mod (rank_val (head $0)) 4) 2),grammar,ENUMERATED,0.239,23.9,0.004265,Enumerated program (DL=30.3678 bits),30.3678,(λ gt (mod (rank_val (head $0)) 4) 2)
(λ lt (n_unique_suits (second_half (reverse (second_half $0),grammar,ENUMERATED,0.2397,23.97,0.004269,Enumerated program (DL=29.9527 bits),29.9527,(λ lt (n_unique_suits (second_half (reverse (second_half $0)))) 2)
(λ has_color (drop (rank_val (last $0)) $0) BLACK),grammar,ENUMERATED,0.2398,23.98,0.00427,Enumerated program (DL=28.8632 bits),28.8632,(λ has_color (drop (rank_val (last $0)) $0) BLACK)
(λ lt (n_unique_suits (second_half (first_half $0))) 2),grammar,ENUMERATED,0.2399,23.99,0.00427,Enumerated program (DL=26.3678 bits),26.3678,(λ lt (n_unique_suits (second_half (first_half $0))) 2)
(λ lt (n_unique_suits (head (second_half (adjacent_pairs $0),grammar,ENUMERATED,0.241,24.1,0.004277,Enumerated program (DL=30.1837 bits),30.1837,(λ lt (n_unique_suits (head (second_half (adjacent_pairs $0)))) 2)
(λ lt (n_unique_suits $0) (count_color $0 BLACK)),grammar,ENUMERATED,0.2418,24.18,0.004282,Enumerated program (DL=27.8632 bits),27.8632,(λ lt (n_unique_suits $0) (count_color $0 BLACK))
(λ not (has_color (head (adjacent_pairs $0)) BLACK)),grammar,ENUMERATED,0.2421,24.21,0.004284,Enumerated program (DL=24.2906 bits),24.2906,(λ not (has_color (head (adjacent_pairs $0)) BLACK))
(λ lt (count_suit $0 (get_suit (head $0))) 2),grammar,ENUMERATED,0.2422,24.22,0.004284,Enumerated program (DL=30.2257 bits),30.2257,(λ lt (count_suit $0 (get_suit (head $0))) 2)
(λ lt (rank_val (head $0)) (n_unique_ranks $0)),grammar,ENUMERATED,0.2431,24.31,0.00429,Enumerated program (DL=27.0558 bits),27.0558,(λ lt (rank_val (head $0)) (n_unique_ranks $0))
(λ has_suit (first_half (second_half (second_half $0))) CLUB,grammar,ENUMERATED,0.2436,24.36,0.004293,Enumerated program (DL=23.9527 bits),23.9527,(λ has_suit (first_half (second_half (second_half $0))) CLUBS)
(λ not (has_color (second_half (reverse (second_half $0))) R,grammar,ENUMERATED,0.2436,24.36,0.004293,Enumerated program (DL=27.7601 bits),27.7601,(λ not (has_color (second_half (reverse (second_half $0))) RED))
(λ not (has_color (head (second_half (adjacent_pairs $0))) B,grammar,ENUMERATED,0.2437,24.37,0.004293,Enumerated program (DL=27.991 bits),27.991,(λ not (has_color (head (second_half (adjacent_pairs $0))) BLACK))
(λ has_suit (first_half (first_half $0)) (get_suit (last $0),grammar,ENUMERATED,0.2438,24.38,0.004294,Enumerated program (DL=28.2257 bits),28.2257,(λ has_suit (first_half (first_half $0)) (get_suit (last $0)))
(λ has_suit (drop 5 $0) CLUBS),grammar,ENUMERATED,0.2439,24.39,0.004294,Enumerated program (DL=21.3678 bits),21.3678,(λ has_suit (drop 5 $0) CLUBS)
(λ not (has_color (second_half (reverse (second_half $0))) B,grammar,ENUMERATED,0.2447,24.47,0.004299,Enumerated program (DL=27.7601 bits),27.7601,(λ not (has_color (second_half (reverse (second_half $0))) BLACK))
(λ has_color (drop (rank_val (last $0)) $0) RED),grammar,ENUMERATED,0.2447,24.47,0.004299,Enumerated program (DL=28.8632 bits),28.8632,(λ has_color (drop (rank_val (last $0)) $0) RED)
(λ has_suit (first_half (second_half (first_half $0))) DIAMO,grammar,ENUMERATED,0.2451,24.51,0.004301,Enumerated program (DL=23.9527 bits),23.9527,(λ has_suit (first_half (second_half (first_half $0))) DIAMONDS)
(λ has_suit (first_half (second_half (second_half $0))) HEAR,grammar,ENUMERATED,0.2453,24.53,0.004303,Enumerated program (DL=23.9527 bits),23.9527,(λ has_suit (first_half (second_half (second_half $0))) HEARTS)
(λ lt (n_unique_suits $0) (count_color $0 RED)),grammar,ENUMERATED,0.2454,24.54,0.004303,Enumerated program (DL=27.8632 bits),27.8632,(λ lt (n_unique_suits $0) (count_color $0 RED))
(λ has_suit (first_half (first_half $0)) DIAMONDS),grammar,ENUMERATED,0.2458,24.58,0.004306,Enumerated program (DL=20.3678 bits),20.3678,(λ has_suit (first_half (first_half $0)) DIAMONDS)
(λ has_suit (drop 5 $0) SPADES),grammar,ENUMERATED,0.2461,24.61,0.004307,Enumerated program (DL=21.3678 bits),21.3678,(λ has_suit (drop 5 $0) SPADES)
(λ lt (rank_val (last $0)) (n_unique_ranks $0)),grammar,ENUMERATED,0.2467,24.67,0.004311,Enumerated program (DL=27.0558 bits),27.0558,(λ lt (rank_val (last $0)) (n_unique_ranks $0))
(λ has_suit (first_half (reverse (first_half $0))) HEARTS),grammar,ENUMERATED,0.2469,24.69,0.004312,Enumerated program (DL=23.9527 bits),23.9527,(λ has_suit (first_half (reverse (first_half $0))) HEARTS)
(λ not (has_color (second_half (first_half $0)) RED)),grammar,ENUMERATED,0.247,24.7,0.004313,Enumerated program (DL=24.1751 bits),24.1751,(λ not (has_color (second_half (first_half $0)) RED))
(λ gt (mod (sum_ranks $0) 4) 2),grammar,ENUMERATED,0.2472,24.72,0.004314,Enumerated program (DL=28.3678 bits),28.3678,(λ gt (mod (sum_ranks $0) 4) 2)
(λ has_suit (first_half (second_half $0)) SPADES),grammar,ENUMERATED,0.2479,24.79,0.004318,Enumerated program (DL=20.3678 bits),20.3678,(λ has_suit (first_half (second_half $0)) SPADES)
(λ not (has_color (head (second_half (adjacent_pairs $0))) R,grammar,ENUMERATED,0.2479,24.79,0.004318,Enumerated program (DL=27.991 bits),27.991,(λ not (has_color (head (second_half (adjacent_pairs $0))) RED))
(λ has_suit (drop 5 $0) DIAMONDS),grammar,ENUMERATED,0.2486,24.86,0.004322,Enumerated program (DL=21.3678 bits),21.3678,(λ has_suit (drop 5 $0) DIAMONDS)
(λ has_suit (first_half (reverse (first_half $0))) DIAMONDS),grammar,ENUMERATED,0.2486,24.86,0.004322,Enumerated program (DL=23.9527 bits),23.9527,(λ has_suit (first_half (reverse (first_half $0))) DIAMONDS)
(λ not (has_color (second_half (second_half $0)) BLACK)),grammar,ENUMERATED,0.2495,24.95,0.004327,Enumerated program (DL=24.1751 bits),24.1751,(λ not (has_color (second_half (second_half $0)) BLACK))
(λ has_suit (first_half (second_half $0)) DIAMONDS),grammar,ENUMERATED,0.2498,24.98,0.004329,Enumerated program (DL=20.3678 bits),20.3678,(λ has_suit (first_half (second_half $0)) DIAMONDS)
(λ has_suit (first_half (second_half (first_half $0))) HEART,grammar,ENUMERATED,0.25,25.0,0.00433,Enumerated program (DL=23.9527 bits),23.9527,(λ has_suit (first_half (second_half (first_half $0))) HEARTS)
(λ not (has_color (head (adjacent_pairs $0)) RED)),grammar,ENUMERATED,0.2501,25.01,0.004331,Enumerated program (DL=24.2906 bits),24.2906,(λ not (has_color (head (adjacent_pairs $0)) RED))
(λ has_suit (first_half (second_half $0)) HEARTS),grammar,ENUMERATED,0.2505,25.05,0.004333,Enumerated program (DL=20.3678 bits),20.3678,(λ has_suit (first_half (second_half $0)) HEARTS)
(λ lt (mod (sum_ranks $0) 4) 1),grammar,ENUMERATED,0.2506,25.06,0.004334,Enumerated program (DL=28.3678 bits),28.3678,(λ lt (mod (sum_ranks $0) 4) 1)
Halves_copy_face,template,HALVES_COPY,0.25088,25.09,0.001939,Right half copies left half in face,,"λh. map(face, L(h)) = map(face, R(h))"
(λ has_suit (first_half (first_half $0)) HEARTS),grammar,ENUMERATED,0.2511,25.11,0.004336,Enumerated program (DL=20.3678 bits),20.3678,(λ has_suit (first_half (first_half $0)) HEARTS)
Palindrome_face,template,PALINDROME,0.25132,25.13,0.00194,The sequence of face values is a palindrome,,"λh. map(face, h) = reverse(map(face, h))"
(λ has_suit (first_half (second_half (first_half $0))) CLUBS,grammar,ENUMERATED,0.2514,25.14,0.004338,Enumerated program (DL=23.9527 bits),23.9527,(λ has_suit (first_half (second_half (first_half $0))) CLUBS)
(λ has_suit (first_half (first_half $0)) CLUBS),grammar,ENUMERATED,0.2515,25.15,0.004339,Enumerated program (DL=20.3678 bits),20.3678,(λ has_suit (first_half (first_half $0)) CLUBS)
(λ has_suit (first_half (first_half $0)) SPADES),grammar,ENUMERATED,0.2516,25.16,0.004339,Enumerated program (DL=20.3678 bits),20.3678,(λ has_suit (first_half (first_half $0)) SPADES)
(λ has_suit (first_half (second_half $0)) CLUBS),grammar,ENUMERATED,0.2518,25.18,0.00434,Enumerated program (DL=20.3678 bits),20.3678,(λ has_suit (first_half (second_half $0)) CLUBS)
(λ has_suit (first_half (reverse (first_half $0))) SPADES),grammar,ENUMERATED,0.2521,25.21,0.004342,Enumerated program (DL=23.9527 bits),23.9527,(λ has_suit (first_half (reverse (first_half $0))) SPADES)
(λ gt (count_suit (take 4 $0) HEARTS) 1),grammar,ENUMERATED,0.2522,25.22,0.004343,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (take 4 $0) HEARTS) 1)
(λ has_suit (first_half (reverse (first_half $0))) CLUBS),grammar,ENUMERATED,0.2524,25.24,0.004344,Enumerated program (DL=23.9527 bits),23.9527,(λ has_suit (first_half (reverse (first_half $0))) CLUBS)
(λ gt (count_suit (drop 2 $0) CLUBS) 1),grammar,ENUMERATED,0.2529,25.29,0.004347,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (drop 2 $0) CLUBS) 1)
(λ has_suit (first_half (second_half (first_half $0))) SPADE,grammar,ENUMERATED,0.2535,25.35,0.00435,Enumerated program (DL=23.9527 bits),23.9527,(λ has_suit (first_half (second_half (first_half $0))) SPADES)
(λ gt (min_rank (drop 1 $0)) 4),grammar,ENUMERATED,0.254,25.4,0.004353,Enumerated program (DL=27.3678 bits),27.3678,(λ gt (min_rank (drop 1 $0)) 4)
adj_diff_suit,template,ADJACENT,0.25548,25.55,0.00195,Every pair at offset 1 satisfies diff_suit,,"λh. ∀i. diff_suit(h[i], h[i+1])"
(λ has_suit (first_half (second_half (second_half $0))) DIAM,grammar,ENUMERATED,0.2555,25.55,0.004361,Enumerated program (DL=23.9527 bits),23.9527,(λ has_suit (first_half (second_half (second_half $0))) DIAMONDS)
(λ has_suit (first_half (second_half (second_half $0))) SPAD,grammar,ENUMERATED,0.2556,25.56,0.004362,Enumerated program (DL=23.9527 bits),23.9527,(λ has_suit (first_half (second_half (second_half $0))) SPADES)
(λ gt (count_suit (take 4 $0) DIAMONDS) 1),grammar,ENUMERATED,0.2559,25.59,0.004364,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (take 4 $0) DIAMONDS) 1)
(λ gt (count_suit (drop 2 $0) SPADES) 1),grammar,ENUMERATED,0.2574,25.74,0.004372,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (drop 2 $0) SPADES) 1)
(λ gt (min_rank (take 5 $0)) 4),grammar,ENUMERATED,0.2577,25.77,0.004374,Enumerated program (DL=27.3678 bits),27.3678,(λ gt (min_rank (take 5 $0)) 4)
(λ lt (mod 3 (min_rank $0)) 1),grammar,ENUMERATED,0.2579,25.79,0.004375,Enumerated program (DL=28.3678 bits),28.3678,(λ lt (mod 3 (min_rank $0)) 1)
(λ gt (count_suit (drop 2 $0) DIAMONDS) 1),grammar,ENUMERATED,0.2592,25.92,0.004382,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (drop 2 $0) DIAMONDS) 1)
(λ gt (count_suit (drop 2 $0) HEARTS) 1),grammar,ENUMERATED,0.2609,26.09,0.004391,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (drop 2 $0) HEARTS) 1)
(λ has_suit (drop 5 $0) HEARTS),grammar,ENUMERATED,0.2614,26.14,0.004394,Enumerated program (DL=21.3678 bits),21.3678,(λ has_suit (drop 5 $0) HEARTS)
(λ gt (n_unique_suits (drop 1 $0)) 3),grammar,ENUMERATED,0.2614,26.14,0.004394,Enumerated program (DL=27.3678 bits),27.3678,(λ gt (n_unique_suits (drop 1 $0)) 3)
(λ gt (n_unique_suits (take 5 $0)) 3),grammar,ENUMERATED,0.2628,26.28,0.004402,Enumerated program (DL=27.3678 bits),27.3678,(λ gt (n_unique_suits (take 5 $0)) 3)
(λ gt (count_suit (take 4 $0) CLUBS) 1),grammar,ENUMERATED,0.2631,26.31,0.004403,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (take 4 $0) CLUBS) 1)
(λ lt (mod (min_rank $0) 4) 2),grammar,ENUMERATED,0.2638,26.38,0.004407,Enumerated program (DL=28.3678 bits),28.3678,(λ lt (mod (min_rank $0) 4) 2)
(λ gt (count_suit (take 4 $0) SPADES) 1),grammar,ENUMERATED,0.2638,26.38,0.004407,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (take 4 $0) SPADES) 1)
(λ lt (min_rank (first_half $0)) (n_unique_suits $0)),grammar,ENUMERATED,0.2735,27.35,0.004458,Enumerated program (DL=28.6408 bits),28.6408,(λ lt (min_rank (first_half $0)) (n_unique_suits $0))
(λ le (max_rank (first_half $0)) (rank_val (last $0))),grammar,ENUMERATED,0.2736,27.36,0.004458,Enumerated program (DL=30.6408 bits),30.6408,(λ le (max_rank (first_half $0)) (rank_val (last $0)))
(λ ge (min_rank (second_half $0)) (rank_val (head $0))),grammar,ENUMERATED,0.2777,27.77,0.004479,Enumerated program (DL=30.6408 bits),30.6408,(λ ge (min_rank (second_half $0)) (rank_val (head $0)))
(λ lt (min_rank (take 4 $0)) 3),grammar,ENUMERATED,0.2781,27.81,0.004481,Enumerated program (DL=27.3678 bits),27.3678,(λ lt (min_rank (take 4 $0)) 3)
(λ lt (min_rank (second_half $0)) (n_unique_suits $0)),grammar,ENUMERATED,0.2798,27.98,0.004489,Enumerated program (DL=28.6408 bits),28.6408,(λ lt (min_rank (second_half $0)) (n_unique_suits $0))
count_high_cards_eq_3,template,COUNT,0.2799,27.99,0.002008,Number of high_cards is eq 3,,λh. count(high_cards) eq 3
(λ ge (min_rank (first_half $0)) (rank_val (last $0))),grammar,ENUMERATED,0.2811,28.11,0.004495,Enumerated program (DL=30.6408 bits),30.6408,(λ ge (min_rank (first_half $0)) (rank_val (last $0)))
count_odd_ranks_eq_2,template,COUNT,0.2812,28.12,0.002011,Number of odd_ranks is eq 2,,λh. count(odd_ranks) eq 2
(λ lt (min_rank (drop 2 $0)) 3),grammar,ENUMERATED,0.2812,28.12,0.004496,Enumerated program (DL=27.3678 bits),27.3678,(λ lt (min_rank (drop 2 $0)) 3)
(λ lt (min_rank (second_half (reverse (second_half $0)))) 4),grammar,ENUMERATED,0.2816,28.16,0.004498,Enumerated program (DL=29.9527 bits),29.9527,(λ lt (min_rank (second_half (reverse (second_half $0)))) 4)
(λ lt (min_rank (second_half (second_half $0))) 4),grammar,ENUMERATED,0.2818,28.18,0.004499,Enumerated program (DL=26.3678 bits),26.3678,(λ lt (min_rank (second_half (second_half $0))) 4)
(λ lt (min_rank (head (adjacent_pairs $0))) 4),grammar,ENUMERATED,0.2846,28.46,0.004512,Enumerated program (DL=26.4832 bits),26.4832,(λ lt (min_rank (head (adjacent_pairs $0))) 4)
(λ le (max_rank (second_half $0)) (rank_val (head $0))),grammar,ENUMERATED,0.2848,28.48,0.004513,Enumerated program (DL=30.6408 bits),30.6408,(λ le (max_rank (second_half $0)) (rank_val (head $0)))
(λ has_suit (take (count_suit $0 CLUBS) $0) DIAMONDS),grammar,ENUMERATED,0.2873,28.73,0.004525,Enumerated program (DL=30.3957 bits),30.3957,(λ has_suit (take (count_suit $0 CLUBS) $0) DIAMONDS)
